date,daily worker count
10/08/2016,12414
11/08/2016,12383
12/08/2016,12459
13/08/2016,8582
14/08/2016,7746
15/08/2016,12817
16/08/2016,12824
17/08/2016,12894
18/08/2016,13037
19/08/2016,12846
20/08/2016,8592
21/08/2016,7884
22/08/2016,12860
23/08/2016,12977
24/08/2016,12982
25/08/2016,12787
26/08/2016,12570
27/08/2016,8322
28/08/2016,7589
29/08/2016,12523
30/08/2016,12487
31/08/2016,12612
01/09/2016,12567
02/09/2016,12348
03/09/2016,8197
04/09/2016,7482
05/09/2016,12517
06/09/2016,12413
07/09/2016,12526
08/09/2016,12429
09/09/2016,12276
10/09/2016,8255
11/09/2016,7519
12/09/2016,12834
13/09/2016,12839
14/09/2016,13065
15/09/2016,12757
16/09/2016,12723
17/09/2016,8415
18/09/2016,7775
19/09/2016,12854
20/09/2016,12913
21/09/2016,12993
22/09/2016,12854
23/09/2016,12695
24/09/2016,8573
25/09/2016,8134
26/09/2016,13634
27/09/2016,13616
28/09/2016,13655
29/09/2016,13740
30/09/2016,13584
01/10/2016,8670
02/10/2016,8061
03/10/2016,13689
04/10/2016,13688
05/10/2016,13559
06/10/2016,13584
07/10/2016,13460
08/10/2016,8485
09/10/2016,8131
10/10/2016,13750
11/10/2016,13667
12/10/2016,13806
13/10/2016,13455
14/10/2016,13414
15/10/2016,8548
16/10/2016,8034
17/10/2016,13583
18/10/2016,13421
19/10/2016,13412
20/10/2016,13288
21/10/2016,13496
22/10/2016,8737
23/10/2016,8122
24/10/2016,13448
25/10/2016,13268
26/10/2016,13451
27/10/2016,13265
28/10/2016,13026
29/10/2016,8551
30/10/2016,8140
31/10/2016,13436
01/11/2016,13221
02/11/2016,13262
03/11/2016,13154
04/11/2016,12888
05/11/2016,8485
06/11/2016,8195
07/11/2016,13242
08/11/2016,13188
09/11/2016,13252
10/11/2016,13183
11/11/2016,12962
12/11/2016,8668
13/11/2016,8010
14/11/2016,13426
15/11/2016,13203
16/11/2016,13359
17/11/2016,12907
18/11/2016,12950
19/11/2016,8355
20/11/2016,7980
21/11/2016,13245
22/11/2016,13162
23/11/2016,13073
24/11/2016,12937
25/11/2016,13019
26/11/2016,9003
27/11/2016,8361
28/11/2016,13503
29/11/2016,13559
30/11/2016,13543
01/12/2016,13471
02/12/2016,13283
03/12/2016,8440
04/12/2016,7851
05/12/2016,13511
06/12/2016,13617
07/12/2016,13500
08/12/2016,13292
09/12/2016,13122
10/12/2016,8496
11/12/2016,8117
12/12/2016,13578
13/12/2016,13635
14/12/2016,13440
15/12/2016,13336
16/12/2016,13153
17/12/2016,8537
18/12/2016,8151
19/12/2016,13684
20/12/2016,13604
21/12/2016,13529
22/12/2016,13662
23/12/2016,13280
24/12/2016,8966
25/12/2016,7164
26/12/2016,9656
27/12/2016,13115
28/12/2016,12969
29/12/2016,12820
30/12/2016,12638
31/12/2016,8207
01/01/2017,7383
02/01/2017,12613
03/01/2017,12726
04/01/2017,12777
05/01/2017,12475
06/01/2017,12670
07/01/2017,8317
08/01/2017,7971
09/01/2017,12887
10/01/2017,12826
11/01/2017,12660
12/01/2017,12413
13/01/2017,12602
14/01/2017,8160
15/01/2017,7705
16/01/2017,12973
17/01/2017,12813
18/01/2017,12547
19/01/2017,12450
20/01/2017,12498
21/01/2017,8161
22/01/2017,7691
23/01/2017,12787
24/01/2017,12547
25/01/2017,12562
26/01/2017,12514
27/01/2017,12560
28/01/2017,8257
29/01/2017,7666
30/01/2017,12641
31/01/2017,12689
